Points,Fitness,Visibility,Time
12,126.078,1,4269135669
12,125.261,0.989502,4040985147
12,72.1176,0.599235,4290556596
12,125.74,1,3861113767
12,125.454,1,4114533203
12,71.9803,0.56479,3759213359
12,54.779,0.596391,5022929602
12,48.4241,0.546638,4241765017
12,161.821,1,4028937172
12,126.173,1,4268322012
12,161.332,1,2806041540
12,55.0637,0.599453,3115942200
12,90.6,1,2826814231
12,126.796,0.65544,2930184527
12,196.03,1,2934138595
12,125.975,1,2913037397
12,54.8962,0.597922,2687658978
12,125.242,0.689776,2922923049
12,160.711,1,3169969979
12,83.7629,0.689995,2759977344
12,54.7968,0.594861,2915496485
12,250.049,1,3320540946
12,95.5966,0.55965,2778548218
12,161.592,1,2819109841
12,284.692,1,2984915873
12,79.5036,0.768507,3292063468
12,126.573,1,2976506947
12,72.7742,0.600219,2932225419
12,69.1584,0.544122,2580431291
12,54.8739,0.563259,2745726894
12,161.326,1,3266988681
12,60.8239,0.566539,3669153409
12,68.8313,0.55965,3004188906
12,54.6669,0.689995,3503438783
12,54.5668,0.598688,3319426419
12,100.629,0.648442,2799186452
12,72.086,0.652706,3107152498
12,55.1637,0.59661,3069567259
12,61.7943,0.685949,3232654732
12,96.0033,0.603827,2481790780
12,65.9624,0.692291,2845884369
12,72.2601,0.611263,2553299266
12,126.779,0.65216,2623708864
12,72.8346,0.59497,2784130787
12,68.8217,0.561728,3077209034
12,72.2675,0.653472,2523448666
12,119.077,0.637179,2829425332
12,68.5568,0.598469,3300946143
12,72.346,0.65216,2656540999
12,126.156,1,2656873846
12,92.9195,0.595735,3388064202
12,72.4676,0.651176,2583010686
12,84.0743,0.649754,2930943353
12,92.6981,0.59661,2499850407
12,54.7256,0.597594,2648523822
12,162.864,1,2602850275
12,72.8465,0.600219,2740577333
12,95.3186,0.594095,2634758018
12,125.91,1,2562760995
12,250.801,1,2681947742
12,72.1414,0.65041,2506697605
12,125.181,0.760306,2714523694
12,48.1539,0.649754,2557313150
12,162.328,1,2557612747
12,72.7948,0.596391,2551566543
12,104.989,1,2629528368
12,133.844,0.59825,2807009137
12,161.971,1,3282586602
12,104.684,1,2544792722
12,54.828,0.648332,2819264398
12,55.1243,0.6538,2501626244
12,54.8015,0.59672,2681326748
12,61.6871,0.651394,2683386133
12,72.339,0.562056,2679703598
12,125.628,1,2605997227
12,55.004,0.595845,2557087872
12,162.446,1,2718046984
12,48.5424,0.562712,2996535004
12,89.0655,0.762603,2834158039
12,54.2903,0.594095,2775488756
12,61.1992,0.649098,2543944914
12,72.6448,0.656534,2957960352
12,81.7129,0.594095,2964882111
12,71.6496,0.586441,2745285964
12,72.6322,0.650738,2609995685
12,161.047,0.837944,2947831065
12,126.316,1,2647000560
12,72.7229,0.688792,3065557669
12,93.5528,0.597704,2781503154
12,126.161,1,2749504974
