Points,Fitness,Visibility,Time
10,1273.89,0.99804,7295185084
10,2986.29,0.999308,6493634283
10,1275.87,0.999135,6156889191
10,1272.01,0.99902,6005984110
10,2006.91,0.99902,6014662181
10,966.717,0.999942,6201829421
10,2009.68,0.998847,6161116166
10,2988,0.998213,6500013556
10,2007.42,0.997003,6352240510
10,1244.71,0.985705,6397700910
10,1271.1,0.998156,6398130933
10,2008.83,0.998847,5887030517
10,2986.93,0.99366,6611302985
10,4240.23,0.945069,6615173480
10,1093.41,0.983918,6213521363
10,2011.76,0.994467,6198136257
10,2012.57,0.988241,6131913765
10,966.358,0.998847,5921840333
10,2009.7,0.998847,6015191128
10,1998.05,0.979077,5981665668
10,1272.44,0.999366,6149852840
10,1273.45,0.996138,5737207907
10,2010.25,0.993429,5988173706
10,1274.27,0.998962,6509262158
10,1471.21,0.989798,6138208488
10,1270.43,0.998962,6003044064
10,1271.93,0.998732,6855754314
10,2007.09,0.998559,6306435025
10,1272.06,0.99902,6382109850
10,2011.83,0.99902,5970295974
10,2008.82,0.986166,6024031912
10,2986.53,0.962995,6085434525
10,1264.67,0.999251,6134245864
10,2011.35,0.929045,6589698889
10,1275.49,0.983111,6215043875
10,1267.83,0.958441,6453665355
10,2671.63,0.983342,6240578839
10,1273.01,0.99902,6599045809
10,1272.2,0.997003,6058455857
10,2010.64,0.998847,6075626857
10,1271.45,0.949104,6148598598
10,2010.16,0.970488,6339818631
10,2011.69,0.989855,6326958608
10,2002.95,0.915557,6099081585
10,2987.2,0.997521,6184857351
10,1240.2,0.999193,5946375885
10,1250.33,0.993314,6143315138
10,2008.92,0.993948,6734151526
10,2009.58,0.998905,5998086678
10,2009,0.927431,6118662887
10,2012.01,0.998559,5874330436
10,2008.43,0.994121,6004380847
10,1274.06,0.999885,7019808367
10,1263.92,0.982074,5470808841
10,2987.11,0.990374,6423070306
10,1233.68,0.999712,6517392707
10,760.84,0.996138,6245060433
10,1273.69,0.998962,6653545280
10,1264.13,0.991239,5902601781
10,1264.05,0.9917,5918342044
10,2986.28,0.996484,6435935895
10,2010.05,0.969681,5980455334
10,2009.98,0.99902,6291828491
10,1999.23,0.932215,5781204830
10,1263.16,0.998501,5828569720
10,1270.94,0.99902,5947104163
10,2987.18,0.983054,6244794479
10,2007.43,0.997925,6555915761
10,2987.84,0.998674,6080640521
10,1270.57,0.998328,5989488570
