Points,Fitness,Visibility,Time
41,38205.5,0.998619,33106844
7,117,0.99931,415311
18,3100,0.999267,5932763
7,117,0.999957,453458
9,280.5,0.999051,1229863
7,117,0.999655,384778
7,117,0.999223,551075
7,117,0.998619,475501
7,117,0.999655,369166
6,32,0.611303,424373
23,8100,0.998663,8460897
7,117,0.999827,415225
6,32,0.611993,401348
6,32,0.605263,544885
65,295302,0.999267,110395042
7,117,0.999698,570729
6,32,0.580112,706666
6,32,0.596117,677744
10,102,0.598878,1444214
31,19239,0.999137,16703737
7,126,0.999655,559188
6,32,0.606557,331617
7,117,0.99918,359668
8,62.5,0.789258,1045293
12,157.5,0.583305,1924808
7,117,0.999957,604244
6,32,0.590423,368498
7,117,0.999396,544568
7,117,0.999525,465891
7,117,0.999267,405937
7,117,0.999784,413357
8,62.5,0.590035,529827
7,117,0.999957,413692
11,364,0.998663,1421807
7,117,0.999051,465396
7,117,0.999267,343109
10,132,0.590595,931689
10,108,0.790682,1350708
67,297666,0.999008,160559600
7,117,0.999569,450258
6,32,0.593227,459803
7,117,0.999137,414984
7,117,0.998835,905711
11,299,0.999223,1714026
7,117,0.999267,419490
7,117,0.999482,502483
7,117,0.999698,435872
7,117,0.99918,522790
19,2478,0.998576,4551347
8,87.5,0.594478,933739
9,203.5,0.998749,896072
9,192.5,0.998792,781841
7,171,0.999569,408161
7,117,0.999482,431016
7,117,0.998878,434771
8,62.5,0.781104,784608
7,117,0.999569,421474
9,192.5,0.999957,752955
7,117,0.999957,458586
6,32,0.617515,464210
11,325,0.998447,1585411
7,117,0.997412,385041
7,171,0.999094,392033
9,203.5,0.999223,785503
6,152,0.996937,396198
6,32,0.58516,396573
6,32,0.61415,393800
7,117,1,402446
7,117,0.998835,420897
9,203.5,0.999827,648549
